kind,name,lat,lng
Fuse,FUSE_2980,33.36737,-105.961089
Fuse,FUSE_2968,33.318215,-106.077702
Fuse,FUSE_879,33.148724,-106.04809
Fuse,FUSE_1179,33.113344,-106.045443
Fuse,FUSE_1177,33.108469,-106.053631
Fuse,FUSE_1178,33.110786,-106.053597
Fuse,FUSE_1187,33.113449,-106.053564
Fuse,FUSE_1153,33.091708,-106.043375
Fuse,FUSE_7164,33.06046,-106.080495
Fuse,FUSE_831,33.003856,-106.012668
Fuse,FUSE_825,32.973169,-105.992844
Fuse,FUSE_821,32.963971,-105.992751
Fuse,FUSE_816,32.955903,-105.993475
Fuse,FUSE_15,32.947498,-106.024341
Fuse,OCR_9538,32.947576,-106.02766
Fuse,FUSE_17,32.959858,-106.035349
Fuse,FUSE_2999,32.967019,-106.027749
Fuse,FUSE_8888,32.981872,-106.014499
Fuse,FUSE_14,32.93161,-106.013746
Fuse,FUSE_6755,32.841118,-106.070992
Fuse,FUSE_6761,32.841479,-106.071594
Fuse,FUSE_8827,32.840931,-106.072309
Fuse,FUSE_1180,32.838617,-106.068734
Fuse,FUSE_173,32.793127,-106.143285
Fuse,FUSE_411,32.991127,-105.874293
Fuse,FUSE_429,33.035064,-105.836555
Fuse,FUSE_427,33.024456,-105.845708
Fuse,FUSE_426,33.022988,-105.847218
Fuse,FUSE_425,33.019713,-105.850158
Fuse,FUSE_421,33.008013,-105.842958
Fuse,FUSE_3004,32.998482,-105.835863
Fuse,FUSE_388,32.947446,-105.83813
Fuse,TS_9340,32.940997,-105.808587
Fuse,FUSE_396,32.940181,-105.801031
Fuse,FUSE_389,32.939938,-105.824386
Fuse,FUSE_403,32.990316,-105.869351
Fuse,FUSE_408,32.990419,-105.877946
Fuse,FUSE_409,32.994507,-105.879264
Fuse,FUSE_410,32.995505,-105.879456
Fuse,FUSE_439,32.807712,-105.97821
Fuse,FUSE_440,32.805826,-105.998115
Fuse,FUSE_443,32.800404,-105.979464
Fuse,FUSE_452,32.769269,-105.98469
Fuse,FUSE_455,32.743631,-105.975558
Fuse,FUSE_457,32.743495,-105.964823
Fuse,FUSE_458,32.743614,-105.961902
Fuse,FUSE_463,32.744699,-105.945589
Fuse,FUSE_9526,32.745425,-105.945597
Fuse,FUSE_462,32.744449,-105.950826
Fuse,FUSE_461,32.744393,-105.953322
Fuse,FUSE_460,32.744338,-105.955485
Fuse,FUSE_459,32.74419,-105.956686
Fuse,FUSE_3013,32.743725,-105.960527
Fuse,FUSE_456,32.743489,-105.969134
Fuse,FUSE_9472,32.743509,-105.977264
Fuse,FUSE_445,32.826299,-105.956413
Fuse,FUSE_446,32.820915,-105.945499
Fuse,FUSE_818,32.960014,-105.99252
Fuse,FUSE_2936,32.960082,-105.985646
Fuse,FUSE_1185,32.959965,-105.985671
Fuse,FUSE_822,32.96549,-105.992764
Fuse,FUSE_849,33.054888,-106.045753
Fuse,FUSE_837,33.019673,-106.028014
Fuse,FUSE_9411,33.09171,-106.072228
Fuse,FUSE_873,33.292604,-106.072128
Fuse,FUSE_1176,33.106127,-106.050104
Fuse,FUSE_858,33.077625,-106.04529
Fuse,FUSE_7607,32.958904,-105.992752
Fuse,FUSE_16,32.933295,-106.041145
Fuse,MVI_5543,32.93295,-105.985238
Fuse,FUSE_6753,32.839724,-106.07065
Fuse,FUSE_6758,32.840426,-106.070826
Fuse,FUSE_6757,32.840931,-106.072309
Fuse,FUSE_6759,32.840433,-106.072964
Fuse,FUSE_7153,32.841118,-106.070992
Fuse,FUSE_8824,32.838977,-106.070446
Fuse,FUSE_8898,32.840755,-106.069009
Fuse,FUSE_2926,32.827339,-106.077189
Fuse,FUSE_2927,32.826609,-106.078626
Fuse,FUSE_2928,32.826016,-106.08057
Fuse,FUSE_2933,32.828099,-106.0828
Fuse,FUSE_2932,32.828859,-106.082782
Fuse,FUSE_2925,32.828175,-106.075519
Fuse,FUSE_915,32.829793,-106.074585
Fuse,FUSE_914,32.829796,-106.074577
Fuse,FUSE_8420,32.831204,-106.072247
Fuse,FUSE_897,32.831532,-106.071823
Fuse,FUSE_902,32.830862,-106.072705
Fuse,FUSE_910,32.832525,-106.074672
Fuse,FUSE_912,32.832089,-106.074402
Fuse,FUSE_913,32.832099,-106.074422
Fuse,FUSE_896,32.830859,-106.072705
Fuse,FUSE_905,32.830323,-106.0746
Fuse,FUSE_906,32.831137,-106.074918
Fuse,FUSE_904,32.830512,-106.07411
Fuse,FUSE_903,32.830519,-106.074084
Fuse,FUSE_901,32.83086,-106.072705
Fuse,FUSE_911,32.831164,-106.073845
Fuse,FUSE_909,32.831907,-106.075053
