lat,lng,sv,date
32.810626,-106.108901,True,2025-12
32.809937,-106.110261,True,2025-12
32.809253,-106.111608,True,2026-01
32.808564,-106.112967,True,2026-01
32.807880,-106.114317,True,2026-01
32.807194,-106.115673,True,2026-01
32.806507,-106.117027,True,2026-01
32.805940,-106.118144,True,2026-01
32.805385,-106.119236,True,2026-01
32.804823,-106.120343,True,2026-01
32.804260,-106.121458,True,2026-01
32.803546,-106.122762,True,2025-12
32.802795,-106.124339,True,2025-12
32.802095,-106.125712,True,2025-12
32.801539,-106.126810,True,2025-12
32.800150,-106.129515,True,2025-12
32.799470,-106.130855,True,2025-12
32.798791,-106.132224,True,2025-12
32.798219,-106.133321,True,2025-12
32.797653,-106.134433,True,2025-12
32.796477,-106.136756,True,2026-02
32.798889,-106.136777,False,
32.800123,-106.136783,False,
32.802582,-106.136778,False,
32.803821,-106.136814,False,
32.805039,-106.136826,False,
32.795909,-106.137865,True,2026-02
32.797886,-106.138485,False,
32.800606,-106.139376,False,
32.802012,-106.139838,False,
32.803411,-106.140281,False,
32.804816,-106.140748,False,
32.806231,-106.141201,False,
32.808862,-106.142016,False,
32.810277,-106.142516,False,
32.811707,-106.142980,False,
32.813122,-106.143438,False,
32.813455,-106.146061,False,
32.814491,-106.148663,False,
32.816178,-106.150736,False,
32.817883,-106.152865,False,
32.814512,-106.143897,False,
32.795227,-106.139224,True,2026-02
32.794543,-106.140564,True,2026-02
32.793848,-106.141921,True,2026-02
32.793174,-106.143285,True,2026-02
32.792481,-106.144651,True,2026-02
32.791795,-106.146003,True,2026-02
32.791108,-106.147334,True,2026-02
32.789732,-106.150058,True,2026-02
32.789041,-106.151418,True,2026-02
32.788346,-106.152765,True,2026-02
32.787669,-106.154112,True,2026-02
32.787000,-106.154984,True,2026-02
32.786310,-106.155881,False,
32.785679,-106.156702,False,
32.785119,-106.157916,False,
32.784491,-106.159283,False,
32.783858,-106.160687,False,
32.783246,-106.162056,False,
32.782584,-106.163453,False,
32.781939,-106.164841,True,2025-12
32.780683,-106.167611,True,2025-12
32.780051,-106.169013,True,2025-12
32.779289,-106.170329,True,2026-01
32.778670,-106.171412,True,2026-01
32.778048,-106.172568,True,2026-01
32.827948,-106.075971,True,2024-04
32.826016,-106.080570,False,
32.827573,-106.081341,False,
32.827806,-106.079807,False,
32.828106,-106.083202,False,
32.829552,-106.074936,False,
32.885933,-106.003709,False,
32.884601,-106.004099,False,
32.883217,-106.004505,False,
32.882287,-106.004778,False,
32.881293,-106.005074,False,
32.879964,-106.005462,False,
32.878529,-106.005887,False,
32.877135,-106.006292,False,
32.875756,-106.006701,False,
32.874246,-106.007142,False,
32.872246,-106.007738,False,
32.870848,-106.008144,False,
32.869469,-106.008552,False,
32.868031,-106.008975,False,
32.866678,-106.009369,False,
32.865284,-106.009779,False,
32.863884,-106.010192,False,
32.862500,-106.010598,False,
32.861112,-106.011006,False,
32.859726,-106.011412,False,
32.858348,-106.011818,False,
32.856949,-106.012230,False,
32.855548,-106.012639,False,
32.854176,-106.013043,True,2024-04
32.907996,-105.970570,True,2024-05
32.907967,-105.968251,False,
32.907931,-105.965915,False,
32.909127,-105.967580,False,
32.910219,-105.967591,False,
32.911040,-105.967618,False,
32.911837,-105.967624,True,2024-04
32.913299,-105.967637,True,2024-04
32.915467,-105.967659,True,2024-04
32.917007,-105.967671,True,2024-04
32.917781,-105.967684,True,2024-04
32.919205,-105.967697,False,
32.921429,-105.967719,False,
32.923215,-105.967721,False,
32.924908,-105.967753,False,
32.925661,-105.967760,False,
32.927373,-105.967779,False,
32.928910,-105.967796,False,
32.929653,-105.967805,False,
32.931197,-105.967819,False,
32.932902,-105.967834,False,
32.933756,-105.967837,False,
32.934870,-105.968017,True,2024-04
32.935660,-105.967508,False,
32.937371,-105.967571,False,
32.939069,-105.967589,True,2026-02
32.940714,-105.967611,True,2026-02
32.941513,-105.967619,False,
32.943145,-105.966701,True,2024-04
32.943765,-105.966028,True,2024-04
32.944909,-105.964735,True,2024-04
32.946047,-105.963464,True,2013-06
32.946644,-105.962792,True,2024-05
32.947675,-105.961643,True,2024-05
32.948885,-105.960288,True,2024-05
32.949859,-105.959197,True,2024-05
32.950963,-105.957966,True,2024-05
32.952139,-105.956649,True,2024-05
32.952660,-105.956070,True,2026-02
32.953140,-105.955531,True,2026-02
32.954200,-105.954348,True,2026-02
32.954757,-105.953723,True,2026-02
32.955289,-105.953128,True,2024-04
32.955814,-105.952538,True,2026-02
32.957871,-105.950270,True,2026-02
32.958973,-105.948952,False,
32.960016,-105.947793,False,
32.960796,-105.946898,False,
32.962649,-105.945380,False,
32.964674,-105.943713,False,
32.966098,-105.942563,True,2024-04
32.966457,-105.942266,True,2024-04
32.968030,-105.940991,False,
32.969580,-105.939734,False,
32.970318,-105.939171,False,
32.971620,-105.938063,False,
32.973001,-105.936943,False,
