recloser,hotspots,severity_sum,worst,hotspot_ids
RECL_1042,26,125,5,M000075(5);M000079(5);M000080(5);M000108(5);M000120(5);M000122(5);M000123(5);M000124(5);M000125(5);M000126(5);M000127(5);M000128(5);M000132(5);M000133(5);M000134(5);M000135(5);M000136(5);M000206(5);M000240(5);M000241(5);M000242(5);M000060(4);M000116(4);M000121(4);M000129(4);M000243(4)
RECL_1013,13,61,5,M000037(5);M000039(5);M000047(5);M000083(5);M000174(5);M000175(5);M000176(5);M000214(5);M000228(5);M000049(4);M000087(4);M000159(4);M000161(4)
RECL_1039,6,24,5,M000019(5);M000011(4);M000012(4);M000018(4);M000053(4);M000017(3)
